Webinar on From Sharing Tea to Ideas - The Essence of Team Work,Workshops
Amity University (AU) Rajasthan,Workshops
How to build a career in photography?,Workshops
thinkerspoint,Workshops
Vedic Maths Online Workshop for Kids Designed by IIT Alumni,Workshops
Merry-go-Learn,Workshops
S-Create 1.0 HTML Workshop,Workshops
S-Cube World,Workshops
Pursuing passion over a preached profession!,Workshops
Dare2Compete,Workshops
Webinar: Analyzing Banks and NBFCs from an Investment Perspective,Workshops
Budding Analyst,Workshops
"Placement Discussion by DMS, IIT Delhi Students",Workshops
SICE ( Student initiative for Career Enhancement ),Workshops
Workshop on Public Speaking and Article Writing,Workshops
ALLIANCE FOR CAUSE,Workshops
"Free Webinar on ""AI-Guided Robo Technical Analysis for Max Profit""",Workshops
teckanalytics,Workshops
"Think Again Live - Talk 3 Ft. Ruth Kedar - APOGEE, BITS Pilani",Workshops
"Webinar on ""Applying to Your Dream Business School""",Workshops
Prodigy Education Consultants,Workshops
Model United Nations (MUN) Training Session - Reverence Model United Nations Conference,Workshops
Reverence Model United Nations,Workshops
Paper Presentation at ISQ's TOPS Convention and ANQ Congress 2020,Workshops
Indian Society for Quality,Workshops
Webinar on Tips To Improve Your Writing Speed In Just 40 Minutes,Workshops
FairGaze Skills Pvt Ltd.,Workshops
Webinar - Find your Dream Job Faster,Workshops
10Xme,Workshops
Building Brands to Attract Customers and Investors,Workshops
Umbrella Aegis,Workshops
"Brand Avatars, Human Brands take Powerful New Form",Workshops
Umbrella Aegis,Workshops
"Power of Technologies (AI, AR & VR) in Digital World",Workshops
Umbrella Aegis,Workshops
Entrepreneurship Development Drive,Workshops
MS Excel Online Live Webinar,Workshops
Olcademy,Workshops
Motion Graphics Webinar,Workshops
MAAC Banashankari,Workshops
Content Strategy and Planning,Workshops
thinkerspoint,Workshops
Conference and Paper Presentation on International Arbitration and Consumer Protection Laws,Workshops
"Manipal University (MU), Jaipur",Workshops
Vedic Maths Online Workshop for Kids Designed by IIT Alumni,Workshops
Merry-go-Learn,Workshops
Train Your Brain!,Workshops
"Deen Dayal Upadhaya College (DDUC), University of Delhi (DU), New Delhi",Workshops
"Online Workshop on ""Pleasure and Promiscuity""",Workshops
"Project Ruhani, Enactus LSR",Workshops
Consult Round Table,Workshops
"Prayaas, IIM Ahmedabad",Workshops
Mindful Recipe: Recipe to Healthy Mind,Workshops
Rotaract club of UPG,Workshops
Risk & Pharmacovigilance MasterClass - Conference,Workshops
GLC Europe,Workshops
Importance of Career Planning,Workshops
Umbrella Aegis,Workshops
Development of Generics: From R&D to GMP MasterClass - Conference,Workshops
GLC Europe,Workshops
AMA on Digital Marketing Careers (Freshers & Middle Managers),Workshops
Umbrella Aegis,Workshops
CMC Biopharma MasterClass - Conference,Workshops
GLC Europe,Workshops
"Webinar on ""Missing Connect between Industry & Academia""",Workshops
Umbrella Aegis,Workshops
Crack the Code to MBA,Workshops
The MBA Project,Workshops
Doodling & Calligraphy Workshop,Workshops
rise4girl Ngo,Workshops
"Workhsop on ""Introduction to Cryptocurrency: Decrypt the Crypto""",Workshops
CoLLearn Education,Workshops
"Webinar on ""Amazon Web Services""",Workshops
Research Literacy Workshop,Workshops
ExploreiT,Workshops
Startup Summit Live,Workshops
Stirring Minds,Workshops
"Career Opportunities in Securities Markets - Trading, Risk & Settlements - Career Planning & Workshop Series",Workshops
Webinar on Journey from Being a Foodie to Creating More Food Lovers,Workshops
TEDxDTU Online,Workshops
"Get Smart, with Digital Marketing: The 2-Day Apprentice Challenge",Workshops
GoCrackIt,Workshops
Simple Economics!,Workshops
EconTank,Workshops
"Techniques and Tricks: Extempore, Debates and Group Discussions - Session By NMIMS and Symbiosis MBA Students",Workshops
Knowledge Articles,Workshops
Managing Your MBA: A Session by IIMA Graduates,Workshops
Why Entrepreneurship?,Workshops
Financial Modelling Course,Workshops
NEOS Angels Network LLP,Workshops
Webinar on Unlocking Skills for Future,Workshops
"Ramjas College (RC), University of Delhi (DU), Delhi",Workshops
Consulting Masterclass Series - Workshop 1: Building Your Career in Consulting in COVID times,Workshops
MBAtrek Pvt Limited,Workshops
How to be Unbeatable at Interviews?,Workshops
"Deen Dayal Upadhaya College (DDUC), University of Delhi (DU), New Delhi",Workshops
"Converse, Clear and Make Your Own",Workshops
Enactus IIT Delhi,Workshops
Digital: A Platform for Performance or Brand Advertising,Workshops
Umbrella Aegis,Workshops
Flutter Webinar: Latest Mobile Technology Framework,Workshops
NonalNix Pvt.,Workshops
Retailing in COVID Times,Workshops
Umbrella Aegis,Workshops
Hands-On Workshop on R Programming with Certification,Workshops
PiParadox,Workshops
Vedic Maths Online Workshop for Kids Designed by IIT Alumni,Workshops
Merry-go-Learn,Workshops
Coding & Game Design Online Workshop for Kids designed by IIT Alumni,Workshops
Merry-go-Learn,Workshops
Emergence of Gaussian Distribution,Workshops
PiParadox,Workshops
AI Renaissance in Automobile Sector,Workshops
PiParadox,Workshops
How and why to take copywriting and storytelling as a career option,Workshops
thinkerspoint,Workshops
