Fundamentals of digital marketing,Digital Marketing
Get a business online,Digital Marketing
Make sure customers find you online,Digital Marketing
Promote a business with online advertising,Digital Marketing
Expand a business to other countries,Digital Marketing
Connect with customers over mobile,Digital Marketing
Promote a business with content,Digital Marketing
Understand customers needs and online behaviours,Digital Marketing
How to enhance and protect your online campaign,Digital Marketing
Customer Segmentation and Prospecting,Digital Marketing
"Content, Advertising & Social IMC",Digital Marketing
Marketing in a Digital World,Digital Marketing
What is Social?,Digital Marketing
Understanding the web,Digital Marketing
Host a design thinking workshop,Digital Marketing
Learn about Agile project management and SCRUM,Digital Marketing
Use Digital Tools for Everyday Tasks,Digital Marketing
Build Your Online Business,Digital Marketing
Prepare For Your Business Plan,Digital Marketing
Connect and Collaborate Anywhere with Digital Tools,Digital Marketing
Write a Business Plan,Digital Marketing
Google Ads Search,Digital Marketing
Google Ads Display,Digital Marketing
Google Ads - Measurement,Digital Marketing
Shopping Ads,Digital Marketing
Google Ads Video,Digital Marketing
Create a Presentation “All About a Topic”,Digital Marketing
Create a Photo Journal in Google Docs,Digital Marketing
Build confidence with self-promotion,Career Development
Land your next job,Career Development
How to increase productivity at work,Career Development
Intro to digital wellbeing,Career Development
Effective networking,Career Development
Business communication,Career Development
Communicate your ideas through storytelling and design,Career Development
Speaking in public,Career Development
Organisational design: Know your organisation,Career Development
Strategic Innovation: Building and Sustaining Innovative Organizations,Career Development
The Science of Well-Being,Career Development
Social Psychology,Career Development
Think Again III: How to Reason Inductively,Career Development
Conflict Transformation,Career Development
Inspiring Leadership through Emotional Intelligence,Career Development
Foundations of Everyday Leadership,Career Development
English for Career Development,Career Development
Preparing to Manage Human Resources,Career Development
Influencing People,Career Development
Model Thinking,Career Development
Business Writing,Career Development
Organizational Design and Management,Career Development
Think Again I: How to Understand Arguments,Career Development
"High Performance Collaboration: Leadership, Teamwork, and Negotiation",Career Development
Think Again II: How to Reason Deductively,Career Development
Basics of Inclusive Design for Online Education,Career Development
Successful Negotiation: Essential Strategies and Skills,Career Development
Improving Communication Skills,Career Development
Design Thinking for Innovation,Career Development
Design Thinking for the Greater Good: Innovation in the Social Sector,Career Development
Initiating and Planning Projects,Career Development
"Work Smarter, Not Harder: Time Management for Personal & Professional Productivity",Career Development
Giving Helpful Feedback,Career Development
Instructional Design Foundations and Applications,Career Development
Getting Started with Agile & Design Thinking,Career Development
Logical and Critical Thinking,Career Development
Using Creative Problem Solving,Career Development
Mindfulness for Wellbeing and Peak Performance,Career Development
Learn how to learn,Career Development
Which digital job is made for you?,Career Development
Develop your career plan,Career Development
Build a sales strategy for your freelance business,Career Development
Improve your soft skills,Career Development
Use Google to Get a New Job,Career Development
Manage a Project with Digital Tools,Career Development
Communicate Effectively at Work,Career Development
Negotiate Your Salary,Career Development
Give and Receive Feedback,Career Development
Plan Effective Meetings,Career Development
Start a CV,Career Development
Edit Your CV,Career Development
Send Professional Emails,Career Development
Grasshopper: Learn to Code,Career Development
Organize Files in Drive,Career Development
Annotate Text in Google Docs,Career Development
Research and Develop a Topic,Career Development
Manage Project Communication,Career Development
Track due dates and tasks in Gmail,Career Development
Understand the basics of code,Data and Tech
Understand the basics of machine learning,Data and Tech
Improve your online business security,Data and Tech
Google Cloud Platform Fundamentals: Core Infrastructure,Data and Tech
Google Cloud Platform Big Data and Machine Learning Fundamentals,Data and Tech
Machine Learning Crash Course,Data and Tech
Elements of AI,Data and Tech
Technical Support Fundamentals,Data and Tech
Fundamentals of Graphic Design,Data and Tech
Securing Digital Democracy,Data and Tech
Computational Thinking for Problem Solving,Data and Tech
Programming for Everybody (Getting Started with Python),Data and Tech
Front-End Web UI Frameworks and Tools: Bootstrap 4,Data and Tech
Search Engine Optimization Fundamentals,Data and Tech
Research Proposal: Initiating Research,Data and Tech
Introduction to Cybersecurity for Business,Data and Tech
Python Basics,Data and Tech
Exploring and Preparing your Data with BigQuery,Data and Tech
Enterprise System Management and Security,Data and Tech
Software Development Processes and Methodologies,Data and Tech
"Cloud Computing Concepts, Part 1",Data and Tech
Kotlin for Java Developers,Data and Tech
SQL for Data Science,Data and Tech
Fundamentals of Network Communication,Data and Tech
Database Management Essentials,Data and Tech
What is Data Science?,Data and Tech
Decision Making in a Complex and Uncertain World,Data and Tech
Intro to TensorFlow for Deep Learning,Data and Tech
Introduction to Python Programming,Data and Tech
Version Control with Git,Data and Tech
Object-Oriented JavaScript,Data and Tech
Introduction to Cybersecurity,Data and Tech
SQL for Data Analysis,Data and Tech
Intro to JavaScript,Data and Tech
Build Native Mobile Apps with Flutter,Data and Tech
Kotlin Bootcamp for Programmers,Data and Tech
Developing Android Apps with Kotlin,Data and Tech
Android developer,Data and Tech
Web developer,Data and Tech
Salesforce developer,Data and Tech
Front-end developer,Data and Tech
Think like a computer: the logic of programming,Data and Tech
Build your first web pages with HTML and CSS,Data and Tech
Learn programming with JavaScript,Data and Tech
Learn Python basics for data analysis,Data and Tech
Prepare for the G Suite Certification Exam,Data and Tech
Google IT Support Professional Certificate,Data and Tech
Google IT Automation with Python Professional Certificate,Data and Tech
Create Quizzes in Google Forms,Data and Tech
Create a budget in Google sheets,Data and Tech
